mass_A
t,x,y
0.000000000E0,1.936689155E-1,-3.619377580E-1
3.333333333E-2,1.938477107E-1,-3.619809235E-1
6.666666667E-2,1.941711847E-1,-3.620055177E-1
1.000000000E-1,1.943951845E-1,-3.621657319E-1
1.333333333E-1,1.947301488E-1,-3.622068907E-1
1.666666667E-1,1.951183683E-1,-3.619335417E-1
2.000000000E-1,1.955347753E-1,-3.610993304E-1
2.333333333E-1,1.911411521E-1,-3.562804047E-1
2.666666667E-1,1.757142274E-1,-3.456093305E-1
3.000000000E-1,1.521318221E-1,-3.303701224E-1
3.333333333E-1,1.202279422E-1,-3.111493969E-1
3.666666667E-1,8.683987406E-2,-2.905953776E-1
4.000000000E-1,4.902260117E-2,-2.705528946E-1
4.333333333E-1,9.470057117E-3,-2.527475577E-1
4.666666667E-1,-2.940052287E-2,-2.386479517E-1
5.000000000E-1,-6.638705915E-2,-2.288414384E-1
5.333333333E-1,-9.992211111E-2,-2.246620186E-1
5.666666667E-1,-1.325029948E-1,-2.247460256E-1
6.000000000E-1,-1.621633824E-1,-2.280627787E-1
6.333333333E-1,-1.868339469E-1,-2.332591072E-1
6.666666667E-1,-2.036129931E-1,-2.410201413E-1
7.000000000E-1,-2.117867955E-1,-2.510643063E-1
7.350000000E-1,-2.121624472E-1,-2.620600716E-1
7.683333333E-1,-2.050911105E-1,-2.718618357E-1
8.016666667E-1,-1.891594962E-1,-2.813683450E-1
8.350000000E-1,-1.643347216E-1,-2.907058959E-1
8.683333333E-1,-1.326997416E-1,-2.996726749E-1
9.016666667E-1,-9.763322439E-2,-3.065466617E-1
9.350000000E-1,-5.918258163E-2,-3.114595184E-1
9.683333333E-1,-2.295393909E-2,-3.156798198E-1
1.001666667E0,2.623805256E-2,-3.226520589E-1
1.035000000E0,6.849248012E-2,-3.247190603E-1
1.068333333E0,1.070827736E-1,-3.250910363E-1
1.101666667E0,1.418053644E-1,-3.236152719E-1
1.135000000E0,1.708197868E-1,-3.188682204E-1
1.168333333E0,1.916259247E-1,-3.116019949E-1
1.201666667E0,2.038948534E-1,-3.012724565E-1
1.235000000E0,2.070555045E-1,-2.882442309E-1
1.268333333E0,2.010035785E-1,-2.733990030E-1
1.301666667E0,1.852956609E-1,-2.591562180E-1
1.335000000E0,1.619160380E-1,-2.457688194E-1
1.368333333E0,1.315738344E-1,-2.339424426E-1
1.401666667E0,9.815736709E-2,-2.243509877E-1
1.435000000E0,6.264651487E-2,-2.207667138E-1
1.468333333E0,2.703785424E-2,-2.215316486E-1
1.501666667E0,-9.319889562E-3,-2.291838061E-1
1.535000000E0,-4.577256304E-2,-2.411364715E-1
1.568333333E0,-8.195885584E-2,-2.576529832E-1
1.601666667E0,-1.157979680E-1,-2.760345701E-1
1.635000000E0,-1.457374167E-1,-2.945026286E-1
1.668333333E0,-1.710539694E-1,-3.123064307E-1
1.701666667E0,-1.887859484E-1,-3.285883298E-1
1.735000000E0,-1.981124086E-1,-3.410382454E-1
1.768333333E0,-1.992066536E-1,-3.487310509E-1
1.801666667E0,-1.905150927E-1,-3.509470214E-1
1.835000000E0,-1.730165480E-1,-3.482715978E-1
1.868333333E0,-1.479343540E-1,-3.406593419E-1
1.901666667E0,-1.169011251E-1,-3.289374441E-1
1.935000000E0,-8.123268325E-2,-3.144919180E-1
1.968333333E0,-4.169797376E-2,-2.982713314E-1
2.001666667E0,-2.871177506E-3,-2.816790241E-1
2.035000000E0,3.734310232E-2,-2.686026110E-1
2.068333333E0,7.574088663E-2,-2.564360826E-1
2.101666667E0,1.103963845E-1,-2.469975743E-1
2.135000000E0,1.447287340E-1,-2.393484766E-1
2.168333333E0,1.728510489E-1,-2.356797384E-1
2.201666667E0,1.958109499E-1,-2.338945515E-1
2.235000000E0,2.090558925E-1,-2.347257848E-1
2.268333333E0,2.138659519E-1,-2.370302500E-1
2.301666667E0,2.100713887E-1,-2.408726412E-1
2.335000000E0,1.972491613E-1,-2.460719691E-1
2.368333333E0,1.755277851E-1,-2.533114146E-1
2.401666667E0,1.482792843E-1,-2.622323878E-1
2.435000000E0,1.161282651E-1,-2.717026893E-1
2.468333333E0,8.095156380E-2,-2.830133149E-1
2.501666667E0,4.028292064E-2,-2.925825662E-1
2.535000000E0,1.487401441E-4,-3.059221429E-1
2.568333333E0,-3.932201200E-2,-3.176220695E-1
2.601666667E0,-7.963947499E-2,-3.286405192E-1
2.635000000E0,-1.163927846E-1,-3.372309516E-1
2.668333333E0,-1.479444824E-1,-3.423376909E-1
2.701666667E0,-1.732268850E-1,-3.431479346E-1
2.735000000E0,-1.909944949E-1,-3.403158009E-1
2.768333333E0,-1.998699100E-1,-3.326994695E-1
2.801666667E0,-1.992988273E-1,-3.210490399E-1
2.835000000E0,-1.898348647E-1,-3.061453414E-1
2.868333333E0,-1.723396212E-1,-2.887456699E-1
2.901666667E0,-1.483567964E-1,-2.712698716E-1
2.935000000E0,-1.188697999E-1,-2.550438217E-1
2.968333333E0,-8.524372395E-2,-2.407579260E-1
3.001666667E0,-4.946333753E-2,-2.297784409E-1
3.036666667E0,-1.542167383E-2,-2.199054936E-1
3.070000000E0,2.284459513E-2,-2.241876855E-1
3.103333333E0,5.700028442E-2,-2.292600495E-1
3.136666667E0,9.079408066E-2,-2.407068102E-1
3.170000000E0,1.227554335E-1,-2.546892271E-1
3.203333333E0,1.533024176E-1,-2.717384966E-1
3.236666667E0,1.770234542E-1,-2.894514642E-1
3.270000000E0,1.923616724E-1,-3.067663808E-1
3.303333333E0,1.985617114E-1,-3.215296808E-1
3.336666667E0,1.964235092E-1,-3.336265093E-1
3.370000000E0,1.848143222E-1,-3.410912182E-1
3.403333333E0,1.646159855E-1,-3.438734085E-1
3.436666667E0,1.341716622E-1,-3.434631748E-1
3.470000000E0,1.002297969E-1,-3.382863608E-1
3.503333333E0,6.169995592E-2,-3.304575190E-1
3.536666667E0,2.113012952E-2,-3.209727535E-1
3.570000000E0,-2.077213657E-2,-3.106514712E-1
3.603333333E0,-6.106313882E-2,-2.998692613E-1
3.636666667E0,-9.913761103E-2,-2.894634084E-1
3.670000000E0,-1.333401494E-1,-2.799135516E-1
3.703333333E0,-1.631155982E-1,-2.711436582E-1
3.736666667E0,-1.872171856E-1,-2.624756409E-1
3.770000000E0,-2.038229001E-1,-2.548149247E-1
3.803333333E0,-2.124028495E-1,-2.488659441E-1
3.836666667E0,-2.131052714E-1,-2.441170477E-1
3.870000000E0,-2.052600918E-1,-2.404713227E-1
3.903333333E0,-1.896022251E-1,-2.383011039E-1
3.936666667E0,-1.672759474E-1,-2.388539277E-1
3.970000000E0,-1.392905448E-1,-2.421505845E-1
