mass_A
t,x,y
0.000000000E0,1.783930218E-1,-3.712493961E-1
3.333333333E-2,1.783424225E-1,-3.712902500E-1
6.666666667E-2,1.783709420E-1,-3.712609369E-1
1.000000000E-1,1.783837614E-1,-3.712459095E-1
1.333333333E-1,1.784692311E-1,-3.713035054E-1
1.666666667E-1,1.782933966E-1,-3.712409238E-1
2.000000000E-1,1.768475288E-1,-3.699641862E-1
2.333333333E-1,1.703772542E-1,-3.666483596E-1
2.666666667E-1,1.576075700E-1,-3.624611332E-1
3.000000000E-1,1.391328718E-1,-3.577035214E-1
3.333333333E-1,1.167135082E-1,-3.510855085E-1
3.683333333E-1,9.379945389E-2,-3.440838376E-1
4.016666667E-1,6.846242845E-2,-3.377028028E-1
4.350000000E-1,4.110762424E-2,-3.325888985E-1
4.683333333E-1,1.149279247E-2,-3.291168027E-1
5.016666667E-1,-1.662241283E-2,-3.270003453E-1
5.350000000E-1,-4.941148622E-2,-3.265356849E-1
5.683333333E-1,-7.942685429E-2,-3.279782938E-1
6.016666667E-1,-1.065562144E-1,-3.312057089E-1
6.350000000E-1,-1.303890222E-1,-3.356074687E-1
6.683333333E-1,-1.502354980E-1,-3.406839681E-1
7.016666667E-1,-1.658154460E-1,-3.456245100E-1
7.350000000E-1,-1.778868558E-1,-3.499698706E-1
7.683333333E-1,-1.850498569E-1,-3.533614118E-1
8.016666667E-1,-1.864036059E-1,-3.556493085E-1
8.350000000E-1,-1.817927532E-1,-3.577153612E-1
8.683333333E-1,-1.709312637E-1,-3.595391273E-1
9.016666667E-1,-1.539945112E-1,-3.608871017E-1
9.350000000E-1,-1.325912991E-1,-3.612227610E-1
9.683333333E-1,-1.077621199E-1,-3.601570634E-1
1.001666667E0,-8.053975983E-2,-3.583989589E-1
1.035000000E0,-5.213689268E-2,-3.562429053E-1
1.068333333E0,-2.348367965E-2,-3.545880293E-1
1.101666667E0,6.842143854E-3,-3.535217131E-1
1.135000000E0,3.767334009E-2,-3.545635907E-1
1.168333333E0,6.789174220E-2,-3.553193810E-1
1.201666667E0,9.544282808E-2,-3.559829396E-1
1.235000000E0,1.192893725E-1,-3.566012584E-1
1.268333333E0,1.395342345E-1,-3.567882071E-1
1.301666667E0,1.545092763E-1,-3.562725377E-1
1.335000000E0,1.641566884E-1,-3.550339219E-1
1.368333333E0,1.685071042E-1,-3.532474137E-1
1.401666667E0,1.684484778E-1,-3.502952794E-1
1.435000000E0,1.631524839E-1,-3.464395809E-1
1.468333333E0,1.520174113E-1,-3.424597916E-1
1.501666667E0,1.351331780E-1,-3.383802773E-1
1.535000000E0,1.138804248E-1,-3.344433480E-1
1.568333333E0,9.007077142E-2,-3.312380920E-1
1.601666667E0,6.326823528E-2,-3.292419886E-1
1.635000000E0,3.458478236E-2,-3.299250986E-1
1.668333333E0,5.160182479E-3,-3.313257944E-1
1.701666667E0,-2.463818097E-2,-3.343752895E-1
1.735000000E0,-5.311407881E-2,-3.390392330E-1
1.768333333E0,-8.130369688E-2,-3.451152106E-1
1.801666667E0,-1.078857965E-1,-3.516448919E-1
1.835000000E0,-1.325993661E-1,-3.581218295E-1
1.868333333E0,-1.536954844E-1,-3.642043672E-1
1.901666667E0,-1.701001658E-1,-3.690857418E-1
1.935000000E0,-1.805919380E-1,-3.728259309E-1
1.968333333E0,-1.850804042E-1,-3.751759189E-1
2.001666667E0,-1.841517232E-1,-3.755749486E-1
2.035000000E0,-1.776561104E-1,-3.744703516E-1
2.068333333E0,-1.657308254E-1,-3.714461655E-1
2.101666667E0,-1.493504229E-1,-3.668752030E-1
2.135000000E0,-1.280949832E-1,-3.610590401E-1
2.168333333E0,-1.034327505E-1,-3.548325756E-1
2.201666667E0,-7.589316241E-2,-3.486846798E-1
2.235000000E0,-4.674165694E-2,-3.428685526E-1
2.268333333E0,-1.668505619E-2,-3.386396159E-1
2.301666667E0,8.571176460E-3,-3.363291842E-1
2.335000000E0,4.124830523E-2,-3.345425930E-1
2.368333333E0,6.853011355E-2,-3.352627378E-1
2.401666667E0,9.321425804E-2,-3.369680911E-1
